Projects,Priority,Type,Status,Sprint,Started,Finished,Inactivity (h),Notes,Duration,Inactivity time,Active time,Created,Start date,End date,Epic,Engineers,Product Manager,Timeline,Tasks,URL
Add Report page for admins and display all the report notifications,Low,Improvement 🚀,Not Started,,,,,,,0,0,"May 8, 2023 12:42 PM",,,,,,,,
Remove the /invite command,Medium,Refactor 🛠️,Complete,Sprint 11,"May 1, 2023 13:20","May 2, 2023 13:40",0,Added the invite button in chat view,87600,0,87600,"May 1, 2023 1:22 PM",01/05/2023,02/05/2023,,,,,,
Fix bug not sending email on invitation,High,Bug 🐞,Complete,Sprint 11,"May 1, 2023 1:40","May 1, 2023 1:57",0,"Instead of using the email, it was used the username of the invetee. Used Tuple to return the chat and the user from the lambda.",1020,0,1020,"May 1, 2023 1:56 AM",01/05/2023,01/05/2023,,,,,,
Refactor Utils class to not be named like that,Low,"Documentation 📘, Refactor 🛠️",Complete,Sprint 11,"April 30, 2023 3:25","April 30, 2023 3:58",0,,1980,0,1980,"April 30, 2023 3:18 AM",30/04/2023,30/04/2023,,,,,,
Video handling with lib,UNSET,Idea 🧠,Not Started,,,,,"https://github.com/kokorin/Jaffree
https://github.com/Manevolent/ffmpeg4j",,0,0,"April 23, 2023 5:11 PM",,,,,,,,
Fix Redux localstorage modification by checking the username of the token in the backend.,Very high,Bug 🐞,Not Started,,,,,Also the storage should be changed to other with more security,,0,0,"April 19, 2023 11:56 PM",,,,,,,,
Fix error in profile view,Medium,Bug 🐞,Revision,Sprint 11,,,,,,0,0,"April 17, 2023 2:47 AM",,,,,,,,
"When inviting someone to a chat, send an email to the user to notify the invitation. The user is added to the chat immediately",Medium,Improvement 🚀,Complete,Sprint 11,"April 11, 2023 2:05","April 12, 2023 3:30",12,"Instead of a command, do a button near chat name and send a POST request. This allows to ease the process of DI and send the email to the user.",91500,43200,48300,"April 11, 2023 2:08 AM",11/04/2023,12/04/2023,,,,,,
New design when sending nsfw media,Medium,Improvement 🚀,Not Started,,,,,"The user can see the image, but other users cannot",,0,0,"April 10, 2023 6:37 PM",,,,,,,,
Send the session ip in the login and register response to identify the session in the profile view,Low,Improvement 🚀,Not Started,,,,,,,0,0,"April 10, 2023 4:23 PM",,,,,,,,
